"name","location","gps_coordinates","max_radioactivity","source_url","reading_source"
"""Le Redoutable"" ein ehemaliges Atom_U-Boot im Museum in Cherbourg/Fr","""Le Redoutable"" ein ehemaliges Atom_U-Boot im Museum in Cherbourg/Fr","49.6425343,-1.6249565","-","https://www.geigerzaehlerforum.de/index.php/topic,2905.0.html",""
"30 Jahre danach","30 Jahre danach","49.432612,8.648025","-","https://www.geigerzaehlerforum.de/index.php/topic,193.0.html",""
"Abertamy (Abertham) / Karlovy Vary","Abertamy (Abertham) / Karlovy Vary","50.368744,12.81826","0.3 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2804.0.html","text"
"Aktivität in Quellen und Kalktuffen in Karlsbad","Aktivität in Quellen und Kalktuffen in Karlsbad","50.3676845,12.9159498","1.0 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2342.0.html",""
"AKWs in EUROPA","AKWs in EUROPA","-22.367401,40.346242","-","https://www.geigerzaehlerforum.de/index.php/topic,203.0.html",""
"Atom Fuel Firma bei Aschaffenbrug","Atom Fuel Firma bei Aschaffenbrug","49.9706701,9.1384857","-","https://www.geigerzaehlerforum.de/index.php/topic,284.0.html",""
"Atombombenexplosionen Weltweit visualisiert","Atombombenexplosionen Weltweit visualisiert","48.235353,16.4171882","0.2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,245.0.html","text"
"Atom-Ei Garching bei München","Atom-Ei Garching bei München","48.247139,11.663704","-","https://www.geigerzaehlerforum.de/index.php/topic,1727.0.html",""
"Atommuseum/Atomkeller Haigerloch.","Atommuseum/Atomkeller Haigerloch.","48.367097,8.803982","0.25 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,949.0.html","text-auto"
"atommuzeum.cz : voraussichtlich ab 19.10. geöffnet...","atommuzeum.cz : voraussichtlich ab 19.10. geöffnet...","50.0864234,14.4156772","-","https://www.geigerzaehlerforum.de/index.php/topic,2454.0.html",""
"Autobahn A4 im Bereich Hainichen, Berbersdorf und Nossen","Autobahn A4 im Bereich Hainichen, Berbersdorf und Nossen","51.041517,13.29507","0.35 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,163.0.html","text"
"AVR Jülich","AVR Jülich","41.588359,-93.601316","1 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2183.0.html",""
"B14 zwischen Gebenbach und Hirschau","B14 zwischen Gebenbach und Hirschau","49.5371912,11.902496","0.34 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,3134.0.html",""
"Bahnhof Zwickau (""Zwickau (Sachs) Hbf"")","Bahnhof Zwickau (""Zwickau (Sachs) Hbf"")","50.714411,12.474516","0.2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2148.0.html","text"
"Băița Uranmine - Bezirk Bihor, Rumänien","Băița Uranmine - Bezirk Bihor, Rumänien","45.985213,24.685923","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2996.0.html",""
"Bericht der japanischen Regierung zu den Aufräumarbeiten in Fukushima","Bericht der japanischen Regierung zu den Aufräumarbeiten in Fukushima","37.760777,140.474581","-","https://www.geigerzaehlerforum.de/index.php/topic,1724.0.html",""
"Berlin-Victoriastadt: Kaskelstraße","Berlin-Victoriastadt: Kaskelstraße","52.504526,13.479686","0.6 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2973.0.html",""
"Block IV - Pressearbeit 1986","Block IV - Pressearbeit 1986","53.341065,-6.270227","-","https://www.geigerzaehlerforum.de/index.php/topic,329.0.html",""
"Brunnen Tannenbergsthal","Brunnen Tannenbergsthal","50.438061,12.461773","0.7 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2921.0.html","text"
"Büros der Uni Wien verstrahlt/k.k. Montan-Verkaufsamt","Büros der Uni Wien verstrahlt/k.k. Montan-Verkaufsamt","48.221986,16.360335","-","https://www.geigerzaehlerforum.de/index.php/topic,1200.0.html",""
