"name","location","gps_coordinates","max_radioactivity","source_url"
"""Le Redoutable"" ein ehemaliges Atom_U-Boot im Museum in Cherbourg/Fr","""Le Redoutable"" ein ehemaliges Atom_U-Boot im Museum in Cherbourg/Fr","","","https://www.geigerzaehlerforum.de/index.php/topic,2905.0.html"
"Aktivität in Quellen und Kalktuffen in Karlsbad","Aktivität in Quellen und Kalktuffen in Karlsbad","","","https://www.geigerzaehlerforum.de/index.php/topic,2342.0.html"
"Atom Fuel Firma bei Aschaffenbrug","Atom Fuel Firma bei Aschaffenbrug","","","https://www.geigerzaehlerforum.de/index.php/topic,284.0.html"
"Atombombenexplosionen Weltweit visualisiert","Atombombenexplosionen Weltweit visualisiert","","","https://www.geigerzaehlerforum.de/index.php/topic,245.0.html"
"atommuzeum.cz : voraussichtlich ab 19.10. geöffnet...","atommuzeum.cz : voraussichtlich ab 19.10. geöffnet...","","","https://www.geigerzaehlerforum.de/index.php/topic,2454.0.html"
"Carl Auer von Welsbach und sein Beitrag zur frühen Radioaktivitätsforschung","Carl Auer von Welsbach und sein Beitrag zur frühen Radioaktivitätsforschung","","","https://www.geigerzaehlerforum.de/index.php/topic,2736.0.html"
"Das Wetterprojekt in Schneeberg/Erzgebirge","Das Wetterprojekt in Schneeberg/Erzgebirge","","","https://www.geigerzaehlerforum.de/index.php/topic,2786.0.html"
"Der Ottofelsen und das Thumkuhlental","Der Ottofelsen und das Thumkuhlental","","","https://www.geigerzaehlerforum.de/index.php/topic,1744.0.html"
"Dosis auf der ISS und  Nord- bzw. Südpol?","Dosis auf der ISS und  Nord- bzw. Südpol?","","","https://www.geigerzaehlerforum.de/index.php/topic,2535.0.html"
"ehemalige Uranerzaufbereitung Seelingstädt","ehemalige Uranerzaufbereitung Seelingstädt","","0.5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,150.0.html"
"Elbmarsch Krümmel und die GKSS","Elbmarsch Krümmel und die GKSS","","","https://www.geigerzaehlerforum.de/index.php/topic,1339.0.html"
"Fußgängerzone in Wernigerode und Rundwanderweg zum Brocken","Fußgängerzone in Wernigerode und Rundwanderweg zum Brocken","","","https://www.geigerzaehlerforum.de/index.php/topic,812.0.html"
"HAZMAT radioactive pieces from inside Chernobyl reactor 4!","HAZMAT radioactive pieces from inside Chernobyl reactor 4!","","","https://www.geigerzaehlerforum.de/index.php/topic,943.0.html"
"Karten der weltweiten Uran- und Thorium-Vorkommen","Karten der weltweiten Uran- und Thorium-Vorkommen","","","https://www.geigerzaehlerforum.de/index.php/topic,1390.0.html"
"Kont. Kontrollen an Sperrzone Tschernobyl.","Kont. Kontrollen an Sperrzone Tschernobyl.","","","https://www.geigerzaehlerforum.de/index.php/topic,783.0.html"
"Kristallgrotte im Erlebnisbergwerk Merkers","Kristallgrotte im Erlebnisbergwerk Merkers","","0.7 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1082.0.html"
"Neues Kernenergiemuseum nahe Prag","Neues Kernenergiemuseum nahe Prag","","","https://www.geigerzaehlerforum.de/index.php/topic,3115.0.html"
"Osjorsk-Kyschtym-Kombinat Majak-Tetscha-Karatschai See-","Osjorsk-Kyschtym-Kombinat Majak-Tetscha-Karatschai See-","","6000000 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1066.0.html"
"Reise mit privatem Guide nach Chernobyl/Pripjat April/Mai 2020","Reise mit privatem Guide nach Chernobyl/Pripjat April/Mai 2020","","","https://www.geigerzaehlerforum.de/index.php/topic,170.0.html"
"Sanierung Collmberghalde bei Freital","Sanierung Collmberghalde bei Freital","","100 cpm","https://www.geigerzaehlerforum.de/index.php/topic,1024.0.html"
"Schacht 235 ""Weißer Hirsch"" bei Antonsthal","Schacht 235 ""Weißer Hirsch"" bei Antonsthal","","10 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2302.0.html"
"Sonderwaffenlager Vogelsang bei Zehdenick","Sonderwaffenlager Vogelsang bei Zehdenick","","","https://www.geigerzaehlerforum.de/index.php/topic,953.0.html"
"Straße zwischen Gosel und Frankenhausen","Straße zwischen Gosel und Frankenhausen","","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,178.0.html"
"Tännichtgrund zwischen Meißen und Dresden","Tännichtgrund zwischen Meißen und Dresden","","0.5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2363.0.html"
"Übung in radioaktiv verseuchter Zone Häuserkampf in Tschernobyl","Übung in radioaktiv verseuchter Zone Häuserkampf in Tschernobyl","","","https://www.geigerzaehlerforum.de/index.php/topic,950.0.html"
"Washout-Hotspot bei Magdeburg?","Washout-Hotspot bei Magdeburg?","","","https://www.geigerzaehlerforum.de/index.php/topic,354.0.html"
